cas,chem_name,group,latin_name,strain,test_type,test_statistic,duration_d,effect_value,effect_unit,source,endpoint
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,7.924516214,mg/L,Widmayer 2022,Growth
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,5.919155342,mg/L,Widmayer 2022,Growth
1910425,Paraquat,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,5.049255633,mg/L,Widmayer 2022,Growth
114261,Propoxur,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,68.05875801,mg/L,Widmayer 2022,Growth
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,42.51442189,mg/L,Widmayer 2022,Growth
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,58.21666228,mg/L,Widmayer 2022,Growth
114261,Propoxur,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,43.44980418,mg/L,Widmayer 2022,Growth
114261,Propoxur,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,60.98770083,mg/L,Widmayer 2022,Growth
114261,Propoxur,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,23.08804016,mg/L,Widmayer 2022,Growth
114261,Propoxur,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,48.20347628,mg/L,Widmayer 2022,Growth
114261,Propoxur,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,53.92341817,mg/L,Widmayer 2022,Growth
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,5.680144302,mg/L,Widmayer 2022,Growth
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,2.426926689,mg/L,Widmayer 2022,Growth
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,7.424775826,mg/L,Widmayer 2022,Growth
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,3.658512558,mg/L,Widmayer 2022,Growth
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,3.919242061,mg/L,Widmayer 2022,Growth
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,7.209350484,mg/L,Widmayer 2022,Growth
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,5.68048437,mg/L,Widmayer 2022,Growth
175013180,Pyraclostrobin,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,4.644093573,mg/L,Widmayer 2022,Growth
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,5.197462844,mg/L,Widmayer 2022,Growth
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,9.227513605,mg/L,Widmayer 2022,Growth
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,4.945233424,mg/L,Widmayer 2022,Growth
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,5.939036351,mg/L,Widmayer 2022,Growth
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,2.415480159,mg/L,Widmayer 2022,Growth
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,3.875157836,mg/L,Widmayer 2022,Growth
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,6.078016745,mg/L,Widmayer 2022,Growth
7761888,Silver nitrate,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,4.718264585,mg/L,Widmayer 2022,Growth
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,2.274796819,mg/L,Widmayer 2022,Growth
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,0.987772275,mg/L,Widmayer 2022,Growth
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,2.253125549,mg/L,Widmayer 2022,Growth
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,1.26570776,mg/L,Widmayer 2022,Growth
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,0.536487417,mg/L,Widmayer 2022,Growth
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,2.870051138,mg/L,Widmayer 2022,Growth
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,1.563627714,mg/L,Widmayer 2022,Growth
115866,Triphenyl phosphate,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,3.245379734,mg/L,Widmayer 2022,Growth
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC10,2,8.581637345,mg/L,Widmayer 2022,Growth
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC10,2,10.12682369,mg/L,Widmayer 2022,Growth
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC10,2,11.21462365,mg/L,Widmayer 2022,Growth
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC10,2,6.148602309,mg/L,Widmayer 2022,Growth
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC10,2,11.05113954,mg/L,Widmayer 2022,Growth
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC10,2,10.62067825,mg/L,Widmayer 2022,Growth
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC10,2,9.146460556,mg/L,Widmayer 2022,Growth
7646857,Zinc chloride,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC10,2,9.752695172,mg/L,Widmayer 2022,Growth
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,2,54.48868642,mg/L,Widmayer 2022,Growth
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,2,52.62967026,mg/L,Widmayer 2022,Growth
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,2,60.54726036,mg/L,Widmayer 2022,Growth
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,2,59.44757491,mg/L,Widmayer 2022,Growth
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,2,35.03979684,mg/L,Widmayer 2022,Growth
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,2,45.63260394,mg/L,Widmayer 2022,Growth
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,2,45.47319834,mg/L,Widmayer 2022,Growth
116063,Aldicarb,NEMATODE,Caenorhabditis elegans,XZ1516,NA,EC50,2,64.68186514,mg/L,Widmayer 2022,Growth
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,CB4856,NA,EC50,2,11.94579357,mg/L,Widmayer 2022,Growth
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA248,NA,EC50,2,12.89487332,mg/L,Widmayer 2022,Growth
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA36,NA,EC50,2,15.79389811,mg/L,Widmayer 2022,Growth
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,ECA396,NA,EC50,2,13.83760013,mg/L,Widmayer 2022,Growth
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,MY16,NA,EC50,2,12.91308125,mg/L,Widmayer 2022,Growth
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,PD1074,NA,EC50,2,11.38415517,mg/L,Widmayer 2022,Growth
10108642,Cadmium chloride,NEMATODE,Caenorhabditis elegans,RC301,NA,EC50,2,12.22222283,mg/L,Widmayer 2022,Growth
